ensembl,symbol,status
YDR201W,SPC19,Essential
YDR208W,MSS4,Essential
YDR211W,GCD6,Essential
YDR212W,TCP1,Essential
YDR224C,HTB1,Essential
YDR228C,PCF11,Essential
YDR232W,HEM1,Essential
YDR235W,PRP42,Essential
YDR236C,FMN1,Essential
YDR238C,SEC26,Essential
YDR240C,SNU56,Essential
YDR243C,PRP28,Essential
YDR246W,TRS23,Essential
YDR267C,CIA1,Essential
YDR280W,RRP45,Essential
YDR288W,NSE3,Essential
YDR292C,SRP101,Essential
YDR299W,BFR2,Essential
YDR301W,CFT1,Essential
YDR302W,GPI11,Essential
YDR303C,RSC3,Essential
YDR308C,SRB7,Essential
YDR311W,TFB1,Essential
YDR324C,UTP4,Essential
YDR325W,YCG1,Essential
YDR327W,YDR327W,Essential
YDR328C,SKP1,Essential
YDR331W,GPI8,Essential
YDR339C,FCF1,Essential
YDR341C,YDR341C,Essential
YDR353W,TRR1,Essential
YDR355C,YDR355C,Essential
YDR356W,SPC110,Essential
YDR361C,BCP1,Essential
YDR362C,TFC6,Essential
YDR365C,ESF1,Essential
YDR367W,KEI1,Essential
YDR373W,FRQ1,Essential
YDR376W,ARH1,Essential
YDR381W,YRA1,Essential
YDR390C,UBA2,Essential
YDR394W,RPT3,Essential
YDR396W,YDR396W,Essential
YDR397C,NCB2,Essential
YDR398W,UTP5,Essential
YDR404C,RPB7,Essential
YDR407C,TRS120,Essential
YDR412W,RRP17,Essential
YDR413C,YDR413C,Essential
YDR416W,SYF1,Essential
YDR427W,RPN9,Essential
YDR429C,TIF35,Essential
YDR434W,GPI17,Essential
YDR437W,GPI19,Essential
YDR449C,UTP6,Essential
YDR454C,GUK1,Essential
YDR460W,TFB3,Essential
YDR464W,SPP41,Essential
YDR468C,TLG1,Essential
YDR472W,TRS31,Essential
YDR473C,PRP3,Essential
YDR475C,JIP4,Essential
YDR478W,SNM1,Essential
YDR483W,KRE2,Essential
YDR487C,RIB3,Essential
YDR489W,SLD5,Essential
YDR499W,LCD1,Essential
YDR510W,SMT3,Essential
YDR521W,YDR521W,Essential
YDR527W,RBA50,Essential
YEL002C,WBP1,Essential
YEL019C,MMS21,Essential
YEL026W,SNU13,Essential
YEL032W,MCM3,Essential
YEL034W,HYP2,Essential
YEL035C,UTR5,Essential
YEL055C,POL5,Essential
YEL058W,PCM1,Essential
YER003C,PMI40,Essential
YER006W,NUG1,Essential
YER008C,SEC3,Essential
YER009W,NTF2,Essential
YER012W,PRE1,Essential
YER013W,PRP22,Essential
YER014W,HEM14,Essential
YER018C,SPC25,Essential
YER021W,RPN3,Essential
YER022W,SRB4,Essential
YER023W,PRO3,Essential
YER025W,GCD11,Essential
YER036C,ARB1,Essential
YER038C,KRE29,Essential
YER043C,SAH1,Essential
YER048W-A,ISD11,Essential
YER082C,UTP7,Essential
YER093C,TSC11,Essential
YER094C,PUP3,Essential
YER104W,RTT105,Essential
YER107C,GLE2,Essential
YER112W,LSM4,Essential
YER125W,RSP5,Essential
YER126C,NSA2,Essential
YER127W,LCP5,Essential
YER133W,GLC7,Essential
YER136W,GDI1,Essential
YER146W,LSM5,Essential
YER147C,SCC4,Essential
YER148W,SPT15,Essential
YER157W,COG3,Essential
YER159C,BUR6,Essential
YER165W,PAB1,Essential
YER168C,CCA1,Essential
YER171W,RAD3,Essential
YER172C,BRR2,Essential
YFL008W,SMC1,Essential
YFL009W,CDC4,Essential
YFL017C,GNA1,Essential
YFL018C,LPD1,Essential
YFL022C,FRS2,Essential
YFL024C,EPL1,Essential
YFL034W,YFL034W,Essential
YFL035C-A,MOB2,Essential
YFL037W,TUB2,Essential
YFL038C,YPT1,Essential
YFL039C,ACT1,Essential
YFL045C,SEC53,Essential
YFR003C,YPI1,Essential
YFR004W,RPN11,Essential
YFR005C,SAD1,Essential
YFR027W,ECO1,Essential
YFR028C,CDC14,Essential
YFR029W,PTR3,Essential
YFR031C,SMC2,Essential
YFR037C,RSC8,Essential
YFR042W,KEG1,Essential
YFR050C,PRE4,Essential
YFR051C,RET2,Essential
YFR052W,RPN12,Essential
YGL001C,ERG26,Essential
YGL008C,PMA1,Essential
YGL011C,SCL1,Essential
YGL018C,JAC1,Essential
YGL022W,STT3,Essential
YGL030W,RPL30,Essential
YGL040C,HEM2,Essential
YGL044C,RNA15,Essential
YGL047W,ALG13,Essential
YGL048C,RPT6,Essential
YGL055W,OLE1,Essential
YGL061C,DUO1,Essential
YGL065C,ALG2,Essential
YGL068W,MNP1,Essential
YGL069C,YGL069C,Essential
YGL073W,HSF1,Essential
YGL074C,YGL074C,Essential
YGL075C,MPS2,Essential
YGL091C,NBP35,Essential
YGL092W,NUP145,Essential
YGL093W,SPC105,Essential
YGL097W,SRM1,Essential
YGL098W,USE1,Essential
YGL099W,LSG1,Essential
YGL102C,YGL102C,Essential
YGL103W,RPL28,Essential
YGL111W,NSA1,Essential
YGL112C,TAF6,Essential
YGL113W,SLD3,Essential
YGL116W,CDC20,Essential
YGL120C,PRP43,Essential
YGL122C,NAB2,Essential
YGL123W,RPS2,Essential
YGL128C,CWC23,Essential
YGL130W,CEG1,Essential
YGL137W,SEC27,Essential
